hotel,Naive_MAE,Seasonal_MAE,ETS_MAE,ARIMA_MAE
hotel_0,0.26406186406186405,0.27420974087640754,0.22350010258041006,0.2478969628699156
hotel_105,0.20048379293662313,0.1507637017070979,0.21157884875495653,0.1834749006412025
hotel_112,0.1793956043956044,0.1380357142857143,0.11324691031526868,0.10385344145548914
hotel_126,0.0516001926360492,0.053868044306291316,0.07352312289751453,0.05641953392141737
hotel_133,0.14116375427850839,0.14491082687803997,0.1100080488200776,0.16138173571625242
hotel_14,0.12266224341696041,0.17677793904209,0.11358548854675272,0.11432042045216868
hotel_21,0.11985144485144486,0.07446072446072445,0.12092950311097628,0.12703468729723338
hotel_28,0.13181318681318682,0.21554945054945054,0.13490199131969668,0.1747292804676122
hotel_35,0.17066878434065935,0.14232915521978023,0.2573107047873192,0.16436614634798033
hotel_42,0.279832717889398,0.33180584597588647,0.23200689020918416,0.2169482864447021
hotel_49,0.1058208167378473,0.10228897739814768,0.08816175949562191,0.10611554615058343
hotel_56,0.09177655677655679,0.06866300366300367,0.08718550292519442,0.08368513168639685
hotel_63,0.17794383394383395,0.1997069597069597,0.14103116972573043,0.15925952675049274
hotel_7,0.13382252926226867,0.137967569889394,0.12911607785568355,0.12789671141643902
hotel_70,0.1348370927318296,0.22762675920570655,0.13233781200776082,0.14761731580491833
hotel_77,0.003817099867418987,0.004464588536367281,0.033076336779919176,0.0386658371781166
hotel_84,0.1577018137571771,0.2045781208410966,0.21645655310277193,0.2548834667729355
hotel_91,0.19725892085442648,0.2764785776021731,0.21545358801627748,0.20863913589176394
hotel_98,0.1848280751506558,0.21487061325771,0.14609474106071882,0.1563265564015228
